marker_rank,gene,combined_score,expression,specificity,log2_fc_vs_others,z_score,gini_specificity,pct_total_expression,rank_among_types,is_top_expressed,max_other_expression,mean_other_expression
40,ATP8A1,0.0036450864,0.0044469247,1.2697893,1.5026459,1.5189495,0.476083131716857,28.81563,1,1,0.0035020963,0.0015693444
41,ZBTB20,0.0035208233,0.0076909303,0.58057547,-0.2554935,-0.43537182,0.0710231667142393,10.68809,6,0,0.013247081,0.009181002
42,FRMD4B,0.003506976,0.0053800913,0.9190748,1.9163283,1.5292722,0.532997906054703,35.032467,2,0,0.005853812,0.0014253361
43,TMEM144,0.00332486,0.004948142,0.95803434,2.5574353,1.676367,0.6305222196628023,45.680023,2,0,0.00516489,0.0008405768
44,LIMCH1,0.0031880855,0.004795107,0.94422257,1.9452844,1.5861609,0.5233798774279943,35.49063,2,0,0.005078365,0.0012451146
45,SOX2-OT,0.0029691358,0.004745294,0.86955625,0.9700151,0.8374182,0.29648588459536745,21.865068,4,0,0.005457144,0.002422476
46,MGAT5,0.0029350002,0.0038849663,1.1286253,1.3990259,1.7926204,0.35691730405644573,27.365055,1,1,0.0034422108,0.0014731211
47,TCF12,0.0029012521,0.0053403117,0.72163415,0.27114537,0.41049278,0.18293124176189102,14.704519,3,0,0.007400303,0.00442531
48,ENPP2,0.0029004214,0.003971176,1.075845,2.7115924,1.8160071,0.7042307605781304,48.341175,1,1,0.0036912158,0.0006062453
49,DPYSL5,0.0028763234,0.0027005312,1.9011159,3.2005854,2.3096573,0.7134051937358665,56.772293,1,1,0.0014204978,0.00029374933
50,PIP4K2A,0.002775365,0.0062643355,0.5574381,0.7606658,0.56681335,0.39010024758941464,19.48722,3,0,0.011237725,0.0036973606
51,PLEKHH1,0.0027733166,0.0036152487,1.1535474,2.1020634,1.7567126,0.6064859026590479,38.01596,1,1,0.0031340271,0.00084208127
52,PXK,0.0027572354,0.0037069982,1.1038983,1.9838996,1.7448367,0.5713131350739544,36.105785,1,1,0.0033580975,0.00093714986
53,UGT8,0.0026239855,0.0032209405,1.2584176,2.5367699,1.9754485,0.6420373263439525,45.32482,1,1,0.0025595163,0.00055505853
54,SHROOM4,0.0026196458,0.002986949,1.4037516,3.0441446,2.0774972,0.7399069956799813,54.09407,1,1,0.002127833,0.00036211693
55,SORT1,0.0025792858,0.003205426,1.2359415,2.061719,1.9451429,0.5220198906931295,37.359257,1,1,0.0025935094,0.00076779706
56,DNAJC6,0.0025756308,0.0035345487,1.0723878,1.6090783,1.4050512,0.5380831920947062,30.352201,1,1,0.0032959613,0.0011586522
57,ANKRD18A,0.0025349874,0.0021697504,2.2166207,3.02845,2.3579865,0.67656500557182,53.82381,1,1,0.000978855,0.0002659227
58,ZDHHC20,0.0025197347,0.0028324449,1.4341486,1.353779,1.7780683,0.35657916424531355,26.746115,1,1,0.001975001,0.0011082388
59,SLC25A13,0.0025102217,0.0027110677,1.5241799,1.7027442,1.9308887,0.4350949845302414,31.741917,1,1,0.0017787056,0.0008328431
60,TTLL7,0.0024981513,0.004884537,0.6676922,1.0750115,0.8164078,0.420041612708138,23.133844,3,0,0.007315552,0.0023185299
61,TBC1D12,0.0024561053,0.002447262,1.7281225,1.7100698,2.006859,0.4265413153801174,31.852037,1,1,0.0014161391,0.000747994
