marker_rank,gene,combined_score,expression,specificity,log2_fc_vs_others,z_score,gini_specificity,pct_total_expression,rank_among_types,is_top_expressed,max_other_expression,mean_other_expression
1111,CERKL,0.0,0.0,0.0,-18.048428,-0.4449113,0.523411202583755,0.0,4,0,0.00016318538,2.7109194e-05
1112,CDK18,0.0,0.0,0.0,-23.145569,-0.5472897,0.09816593718028194,0.0,8,0,0.004281122,0.0009279195
1113,CFAP299,0.0,0.0,0.0,-17.639767,-0.38603824,0.5439920380859637,0.0,4,0,0.00014031585,2.0421925e-05
1114,CDHR3,0.0,0.0,0.0,-21.623919,-0.5069636,0.09709683508025618,0.0,8,0,0.0017380393,0.0003231827
1115,CFAP47,0.0,0.0,0.0,-21.138199,-0.5716702,0.2885202929573094,0.0,6,0,0.00097243796,0.0002307977
1116,CFTR,0.0,0.0,0.0,-20.128437,-0.7726441,0.2438091604155658,0.0,6,0,0.00031739223,0.00011462063
1117,CDHR1,0.0,0.0,0.0,-18.2859,-0.7600172,0.24645145045336259,0.0,6,0,0.00010895346,3.1959724e-05
1118,CDH9,0.0,0.0,0.0,-17.36926,-0.529218,0.19456471981608808,0.0,7,0,8.665672e-05,1.6930353e-05
1119,SLC25A29,0.0,0.0,0.0,-22.435492,-1.3088092,0.05275790079931236,0.0,8,0,0.0010099648,0.0005672254
1120,SLC25A18,0.0,0.0,0.0,-21.508688,-0.4665627,0.09734612106390009,0.0,8,0,0.0017373966,0.00029837355
1121,SLC25A10,0.0,0.0,0.0,-17.634104,-0.5521482,0.28310384326924243,0.0,6,0,0.00010080636,2.0341928e-05
1122,SLC31A2,0.0,0.0,0.0,-20.631336,-0.64169,0.26759624163602513,0.0,6,0,0.0005338465,0.00016242421
1123,SLC2A5,0.0,0.0,0.0,-19.804432,-0.4452053,0.103379027367482,0.0,8,0,0.00055276585,9.156456e-05
1124,CIITA,0.0,0.0,0.0,-20.885515,-0.38492474,0.2176559558921386,0.0,7,0,0.0013344415,0.00019371638
1125,SERPINE1,0.0,0.0,0.0,-16.336197,-0.40925673,0.5360736530215026,0.0,4,0,5.3909815e-05,8.273327e-06
1126,SLC2A10,0.0,0.0,0.0,-17.96732,-0.82979023,0.07741207708194503,0.0,8,0,6.577649e-05,2.562716e-05
1127,SLC39A12,0.0,0.0,0.0,-19.754461,-0.4290135,0.2116929825307557,0.0,7,0,0.00055129,8.844742e-05
1128,CLCA4,0.0,0.0,0.0,-18.878922,-0.55803126,0.4873698399826659,0.0,4,0,0.0002118092,4.820819e-05
1129,WRAP53,0.0,0.0,0.0,-16.884584,-0.5853934,0.28654478670678046,0.0,6,0,5.3178257e-05,1.2099369e-05
1130,VIPR1,0.0,0.0,0.0,-17.77817,-0.42969903,0.31210684159606306,0.0,6,0,0.00014048223,2.2478154e-05
1131,SMIM35,0.0,0.0,0.0,-20.163204,-0.37896356,0.21856313640774028,0.0,7,0,0.00082001754,0.00011741639
1132,CLEC7A,0.0,0.0,0.0,-19.430979,-0.37911907,0.5464580843939817,0.0,4,0,0.0004934514,7.0681665e-05
