marker_rank,gene,combined_score,expression,specificity,log2_fc_vs_others,z_score,gini_specificity,pct_total_expression,rank_among_types,is_top_expressed,max_other_expression,mean_other_expression
40,CSMD2,0.005225978,0.0028302849,5.337279,4.368813,2.6055436,0.7483117016050604,74.6933,1,1,0.000530286,0.00013698913
41,LINC00511,0.0050988463,0.0038683536,2.7362862,3.4349673,2.4704137,0.6998574615506712,60.707367,1,1,0.0014137239,0.00035768264
42,CACNG4,0.0049695745,0.001240535,53.92634,8.560236,2.6453028,0.8704484977395766,98.17938,1,1,2.3004151e-05,3.2863074e-06
43,LINC01013,0.004948956,0.0021736238,8.745667,4.5329494,2.6177688,0.763044970049747,76.78289,1,1,0.0002485371,9.389233e-05
44,PDZD2,0.004918859,0.0066248076,1.1011627,1.8778481,1.727518,0.543047159393582,34.427853,1,1,0.0060161934,0.0018025389
45,FERMT1,0.0049150814,0.0017993002,14.358404,5.486007,2.6378772,0.8125653609091446,86.49122,1,1,0.00012531328,4.01467e-05
46,DGKG,0.0048485063,0.0041349577,2.230267,3.61152,2.3969724,0.7490618166461263,63.585194,1,1,0.001854019,0.00033829463
47,KAT2B,0.004608916,0.0035208995,2.7025313,2.011962,2.5017824,0.3566188222350417,36.55572,1,1,0.0013028153,0.0008729566
48,QKI,0.0045759757,0.010756174,0.53024495,-0.0024603307,-0.0025714443,0.20590423043034073,12.481358,4,0,0.020285293,0.010774533
49,HECW1,0.0042449133,0.0020668202,6.79777,5.260649,2.6183283,0.8253720761908769,84.559944,1,1,0.00030404376,5.3912405e-05
50,MAML2,0.0041236314,0.0068568327,0.8246535,0.59432405,0.745349,0.23558500027699852,17.741556,3,0,0.008314804,0.0045416555
51,CACNA1A,0.004097417,0.0041824873,1.6635513,3.0289445,2.2192,0.699820742450342,53.83233,1,1,0.002514192,0.00051242625
52,CHST11,0.003999303,0.006424226,0.86364573,1.5224681,1.2904253,0.482469254707112,29.098278,2,0,0.0074384967,0.0022362082
53,SULF2,0.0038982977,0.0018702479,7.0395637,4.228229,2.6122108,0.733925322621896,72.807465,1,1,0.0002656766,9.978722e-05
54,SLC24A3,0.003882992,0.0025861948,3.488105,3.9633017,2.5230553,0.767525011941387,69.02401,1,1,0.0007414325,0.00016580142
55,SOX2-OT,0.0038126593,0.005457144,1.0110453,1.2335346,1.1307154,0.47437741535258793,25.14509,1,1,0.005397527,0.002320783
56,SCN9A,0.0036473146,0.0019945372,5.2254896,4.858231,2.598491,0.8141163051836493,80.558304,1,1,0.00038169377,6.876511e-05
57,POU6F2,0.0036233063,0.0031519749,2.1567256,3.312387,2.3436325,0.7336091664870719,58.663254,1,1,0.0014614629,0.00031728885
58,NTRK3,0.0035905126,0.0039404673,1.4872795,2.498236,1.9741813,0.6601044260359596,44.66378,1,1,0.0026494463,0.00069743494
59,TCF4,0.0035786808,0.005274067,0.97100365,1.4112179,1.4490608,0.4023370117472761,27.533352,2,0,0.0054315627,0.0019830184
60,COL9A1,0.0035283722,0.0013354977,13.041123,5.9444394,2.63833,0.8381751507818005,89.79328,1,1,0.00010240654,2.168636e-05
61,HTR2C,0.0034768225,0.00080189086,75.38452,9.04347,2.6455214,0.8717271741037012,98.690834,1,1,1.0637241e-05,1.5196058e-06
62,NFIA,0.0034202815,0.006020843,0.7648637,0.9960711,1.1720669,0.3050308803138318,22.175188,2,0,0.007871785,0.003018631
63,DIRC3-AS1,0.0033788187,0.001955381,4.6291556,3.859991,2.5810966,0.7120656535393843,67.47246,1,1,0.00042240543,0.000134666
64,PREX2,0.0032747816,0.0038918226,1.3197327,2.0395923,1.9255797,0.5420161995416313,37.001038,1,1,0.0029489477,0.0009466175
65,TAFA1,0.0032022928,0.0033872935,1.5738014,2.9793751,2.170881,0.7064630904910394,52.977364,1,1,0.0021523004,0.00042950822
66,WSCD1,0.0031887577,0.0013509503,9.594988,4.404958,2.6250095,0.7345506697199751,75.16395,1,1,0.0001407974,6.376969e-05
67,CALCRL,0.0031833295,0.0019943311,3.9341922,4.680424,2.5612056,0.8171716443307555,78.5551,1,1,0.00050692254,7.7776545e-05
68,AMZ1,0.0030529383,0.0012123272,11.406819,4.9227147,2.6368997,0.7632254805232419,81.24879,1,1,0.00010628081,3.9969986e-05
69,NFIB,0.0028641769,0.0036625043,1.1858983,2.4448879,1.8720634,0.6678376110474558,43.75176,1,1,0.0030883797,0.0006726567
70,NAALADL2,0.0026652222,0.0032362202,1.2785976,0.9503888,1.3519937,0.29152586092096366,21.633545,1,1,0.0025310703,0.0016747211
71,PID1,0.0026616943,0.004242117,0.87281907,1.5134081,1.1379318,0.44778281121037167,28.968891,3,0,0.004860248,0.0014859403
72,CDH20,0.002618649,0.0057502943,0.5767944,1.0044056,0.73966634,0.4918776632401732,22.27505,2,0,0.0099694,0.0028663804
73,PRKG2,0.0025784012,0.0011220388,8.953863,5.876198,2.6294723,0.8467055828685863,89.351555,1,1,0.00012531328,1.9102661e-05
74,ZNF804B,0.002466145,0.00090192474,14.399169,5.8111806,2.6376274,0.8340411442214009,88.9151,1,1,6.263718e-05,1.6063048e-05
75,STK32A,0.0024580853,0.0020923647,2.237457,3.9093816,2.393732,0.7916516543210264,68.219284,1,1,0.0009351529,0.00013925023
76,RIN2,0.002451279,0.0023315419,1.8615271,2.0497665,2.1526005,0.4928205695985397,37.165577,1,1,0.0012524887,0.0005631213
77,CNTN3,0.002437151,0.0018712145,2.6782734,3.6323304,2.443502,0.7526857585597442,63.91853,1,1,0.00069866434,0.0001508978
78,TCF12,0.0024319887,0.0048360345,0.6534914,0.10474942,0.15194237,0.15244270146824251,13.315995,4,0,0.007400303,0.0044973497
79,C5orf64,0.0024165367,0.0022244775,1.9634049,2.4496088,2.1273777,0.6100324623460327,43.83231,1,1,0.0011329692,0.00040721355
80,NCKAP5,0.002378536,0.0059546377,0.4909934,0.65657955,0.42457256,0.44221822563680185,18.38011,3,0,0.012127735,0.0037775063
81,SH3D19,0.0023692418,0.003040361,1.1798658,1.7094809,1.6731001,0.511807647288334,31.843176,1,1,0.0025768701,0.00092965126
82,BCAN,0.0023615113,0.0012463856,5.6504707,4.4318824,2.5980735,0.7784935202411181,75.5107,1,1,0.00022058074,5.774604e-05
83,COBL,0.0023234054,0.0029867936,1.1768804,2.165009,1.6576823,0.6478050854297333,39.04931,1,1,0.0025378906,0.0006659973
84,BCAS1,0.002317797,0.003385859,0.98288345,1.8302689,1.3757329,0.5391663410452244,33.687214,2,0,0.0034448225,0.0009521448
85,MCTP1,0.0023032,0.001367368,4.3892374,4.145367,2.5755184,0.7600695851084642,71.65557,1,1,0.0003115274,7.726896e-05
86,KCNIP1,0.0022150734,0.0029168709,1.1369948,2.7415967,1.8750821,0.7107472993087116,48.860695,1,1,0.0025654214,0.00043612835
87,CMYA5,0.0021544322,0.0014242849,3.5387037,3.8770936,2.5453448,0.7366759898733064,67.73209,1,1,0.00040248767,9.693375e-05
88,PLPP4,0.0021543675,0.0013659954,3.8410962,3.9957647,2.5545013,0.7541279439242787,69.50305,1,1,0.00035562637,8.5625616e-05
89,HIP1,0.0021346456,0.0030623267,1.0078541,1.3130218,1.2975496,0.45994706697053656,26.196259,1,1,0.0030384623,0.0012325159
90,RAB31,0.0020813236,0.0019419366,1.9205655,2.7938411,2.2670054,0.6531965555884571,49.76583,1,1,0.0010111274,0.00028003028
91,SLC35F3,0.0020182335,0.0015200778,2.7724223,3.5203607,2.456822,0.7270947140580484,62.10997,1,1,0.00054828497,0.00013247422
92,STK32B,0.00201693,0.0017806047,2.1040938,3.6465642,2.3629842,0.771617494554393,64.14577,1,1,0.0008462572,0.00014218115
93,PTPRT,0.0019944224,0.0035803085,0.7455212,1.973171,1.3244373,0.6033617470171984,35.93441,2,0,0.0048024235,0.000911878
94,ASIC2,0.0019923036,0.001878623,1.8878512,3.5364983,2.3038511,0.7682235387749645,62.372845,1,1,0.0009951117,0.00016190019
95,ETV1,0.0019594,0.0012732589,3.6593957,4.2947574,2.5493631,0.7897731467891038,73.71078,1,1,0.00034794232,6.48732e-05
96,KANK1,0.0019078136,0.0023132132,1.2813015,1.854952,1.8896265,0.4984828752375632,34.070473,1,1,0.001805362,0.00063946884
97,SGK1,0.0018715811,0.002803041,0.9497412,1.8549063,1.5776094,0.4983534285404848,34.069763,2,0,0.0029513733,0.00077490223
98,CHD7,0.0018640041,0.0023144668,1.2375262,1.4496931,1.777384,0.3908089756846047,28.068642,1,1,0.0018702365,0.00084732455
99,OLIG1,0.0017746954,0.001330402,2.796024,3.58322,2.4590983,0.7391697811786977,63.129807,1,1,0.0004758191,0.00011100073
100,DOCK1,0.0017732234,0.0026890372,0.93368375,1.159071,1.117304,0.4053373131278696,24.186104,2,0,0.00288003,0.0012041529
101,MIR3681HG,0.0017329835,0.0008375127,6.918506,5.167976,2.6174304,0.8237587410512683,83.70256,1,1,0.00012105388,2.3295599e-05
102,VWC2,0.0017327858,0.0015005803,2.1732101,3.420708,2.3862393,0.7258548091213968,60.471363,1,1,0.00069049007,0.00014012748
103,ZHX2,0.0016456757,0.0021998568,1.1129459,1.0923694,1.4411892,0.34068043334941134,23.348488,1,1,0.0019766071,0.0010317118
104,SLC22A3,0.0016417783,0.0008651193,5.670854,4.5850153,2.5947437,0.7959443434715803,77.42003,1,1,0.00015255528,3.604522e-05
105,EPHA5,0.0016391024,0.00045724618,35.04348,7.938363,2.6446862,0.868064019472987,97.22558,1,1,1.3047867e-05,1.863981e-06
106,PRRX1,0.0016322909,0.002039797,1.2260357,2.4026716,1.7991754,0.677452055398454,43.032997,1,1,0.0016637336,0.0003857542
107,PIK3R1,0.0016241885,0.0034574447,0.59961915,0.9466572,0.88671315,0.34477656762405917,21.589727,2,0,0.0057660677,0.0017938372
108,GHR,0.0016224992,0.0015139681,1.9203006,2.3334956,2.0581164,0.5972301175297012,41.86168,1,1,0.0007884015,0.00030037548
109,LMCD1-AS1,0.0016163882,0.0034489948,0.5978434,0.5736556,0.5410079,0.31071590250671405,17.53345,3,0,0.0057690605,0.0023174214
110,SERINC5,0.0015890934,0.0021955369,1.0622208,0.7317294,1.2883434,0.22163999706743254,19.17446,1,1,0.0020669308,0.0013221118
111,LINC02223,0.0015615262,0.0009794221,3.925049,4.396989,2.5583928,0.7981121534904072,75.06069,1,1,0.0002495311,4.6488287e-05
112,IL1RAP,0.0015566838,0.0014340753,1.9609097,3.688949,2.3263893,0.7788939072797589,64.81861,1,1,0.0007313315,0.00011119551
113,HIP1R,0.0015129367,0.0016181923,1.5470984,2.0081253,2.0112743,0.5223561701911814,36.494064,1,1,0.0010459529,0.000402276
114,PPP2R2B,0.0014858558,0.0060503674,0.27836394,-0.90297997,-0.5704869,0.21120496877951955,7.097499,5,0,0.021735456,0.011313729
115,ZNF521,0.0014431758,0.0015284566,1.570768,2.2501836,2.0584836,0.5792535454171355,40.463203,1,1,0.0009730631,0.00032127748
116,RBFOX1,0.0014406343,0.00544776,0.30270812,0.066870466,0.031548154,0.4856142170833366,13.015838,3,0,0.017996743,0.0052010133
117,GRIK4,0.0013427808,0.0012703493,1.8777736,2.5162313,2.20564,0.6104514208803016,44.972267,1,1,0.0006765187,0.00022205568
118,NTN1,0.0013304817,0.0014062123,1.5757626,2.9703672,2.1607873,0.7097729545072611,52.821793,1,1,0.00089240103,0.00017942423
119,DGKB,0.0013054205,0.0024898313,0.68927735,1.4363151,0.9469642,0.48743311532220635,27.881802,3,0,0.0036122343,0.0009200172
120,NTRK2,0.0012826006,0.0034005223,0.45816314,0.9504913,0.5679043,0.483320775750094,21.63475,3,0,0.0074220775,0.0017596213
121,EDIL3,0.0012740233,0.0035082435,0.4378535,0.44065532,0.2513056,0.4620181907660392,16.240097,3,0,0.008012368,0.0025848732
122,C1QL1,0.001267526,0.00065231096,5.9805765,5.1255474,2.6099687,0.8235393214196387,83.29739,1,1,0.00010907149,1.8685681e-05
123,LRMDA,0.0012583822,0.0055112587,0.25649908,0.5748259,0.23092589,0.6438709224231055,17.545181,2,0,0.021486465,0.003700079
124,DOCK10,0.001242577,0.0037182989,0.39679298,-0.4081685,-0.38891533,0.12118654145262658,9.719117,6,0,0.009370878,0.004934183
125,CSGALNACT1,0.0011516189,0.0022540544,0.66680723,1.3478361,0.9341891,0.47044866748787634,26.665487,3,0,0.003380369,0.0008855748
126,ZCCHC24,0.0011330108,0.0013988661,1.2477944,1.9660743,1.6131963,0.5973657155639407,35.821243,1,1,0.0011210708,0.00035803765
127,KCNH8,0.001130912,0.002757754,0.506945,1.2669817,0.755591,0.5953462447012903,25.583973,2,0,0.005439947,0.0011459243
128,MIR137HG,0.0011296775,0.0008604962,2.7166438,4.0124273,2.4729607,0.785152067559262,69.747314,1,1,0.00031674965,5.3319636e-05
129,CDH11,0.0010898587,0.0011627151,1.5531793,1.7652185,1.909602,0.46723523182607307,32.68749,1,1,0.0007486032,0.00034204996
130,DIRC3,0.0010839879,0.001133893,1.601239,1.8887371,2.035541,0.4722675901865845,34.598446,1,1,0.00070813467,0.0003062002
131,LDLRAD3,0.0010779648,0.0016015058,0.96029407,0.6396227,0.7781669,0.2511037657249291,18.204441,2,0,0.0016677242,0.0010279758
132,APOD,0.0010753423,0.00091292895,2.2475588,3.0326726,2.3173208,0.6899353450912413,53.896557,1,1,0.0004061868,0.000111560694
133,PHLPP1,0.0010734202,0.0030953889,0.4145061,0.31467533,0.23106235,0.3609537818871828,15.087,3,0,0.0074676555,0.0024887915
134,PDGFC,0.0010658453,0.0011227563,1.5839295,2.4629567,1.9516393,0.6513759453218875,44.060223,1,1,0.0007088422,0.00020363925
135,ITGB8,0.0010223546,0.0011271536,1.4769385,2.2210455,1.9152263,0.6102173165067328,39.977604,1,1,0.00076316885,0.00024175843
136,MPPED2,0.0010053783,0.0019290942,0.68399006,1.9302986,1.2374195,0.6039617453047437,35.253178,2,0,0.0028203542,0.00050614576
137,GPR37L1,0.0010036505,0.0010426643,1.6184502,3.029991,2.204445,0.7008802402418044,53.850357,1,1,0.00064423616,0.00012765152
138,KCNT2,0.0009957819,0.0021051017,0.6048538,1.9313524,1.0997785,0.6588246690307493,35.26985,2,0,0.003480348,0.00055192236
139,TRPS1,0.0009945317,0.0025461535,0.47786966,0.18458544,0.2153969,0.2290956739662252,13.967819,2,0,0.0053281337,0.0022403654
140,APCDD1,0.00097205327,0.001103593,1.4128478,2.2319858,1.9432266,0.5968958978432197,40.15971,1,1,0.00078111235,0.00023491682
141,NEBL,0.0009617672,0.0029110254,0.39150766,0.57920384,0.32924914,0.47951437906669514,17.589123,3,0,0.007435424,0.0019484455
142,VEGFA,0.0009589428,0.000737017,2.6733847,3.2227547,2.3695378,0.7056553571602662,57.14903,1,1,0.00027568676,7.894619e-05
143,MATN2,0.0009523494,0.00090705114,1.8574799,2.984734,2.2796018,0.6878851685790492,53.069897,1,1,0.0004883234,0.00011458742
144,MAP3K5,0.0009393036,0.0018802017,0.6480223,0.49636403,0.44013172,0.2694235953437585,16.772226,4,0,0.002901446,0.0013328583
145,PTPRE,0.00093818747,0.0017905867,0.6886938,1.5747243,1.1740968,0.5267414391148092,29.851187,2,0,0.002599975,0.0006011129
146,RFTN2,0.0009355165,0.0015468401,0.83087134,1.2098155,1.0703722,0.44682613626110756,24.8369,2,0,0.0018617082,0.0006687359
147,GTDC1,0.0009336153,0.0016561598,0.7572023,0.6083742,0.85862136,0.24537701007398482,17.884136,2,0,0.002187209,0.0010863339
148,ZEB2,0.00092955516,0.0028418552,0.38693255,-0.20306487,-0.1587983,0.20586243238308577,11.039977,5,0,0.007344575,0.0032713767
149,SIK3,0.00091256015,0.0034131526,0.30651823,-0.6321824,-0.47806907,0.18696151301797148,8.43928,5,0,0.011135235,0.005290072
150,TLE4,0.00089983986,0.0012686048,1.0325977,0.7480107,1.132504,0.26786855110554364,19.349966,1,1,0.0012285566,0.0007553577
151,KCNMB2-AS1,0.0008711499,0.0016240107,0.70987254,1.4519494,1.1124631,0.5192860254126513,28.100227,2,0,0.0022877497,0.00059362
152,LRP4,0.0008653178,0.0011355085,1.1426709,2.3676853,1.7618307,0.6773718961077155,42.43954,1,1,0.0009937318,0.00022001179
153,STXBP6,0.0008488649,0.00105237,1.2403277,1.8512075,1.6278206,0.556815444386159,34.0122,1,1,0.0008484611,0.0002916751
154,ARHGAP31,0.0008070947,0.0011498043,1.017665,1.9818903,1.5138762,0.6345082019662811,36.073666,1,1,0.0011298455,0.00029108205
