de_rank,gene,log2_fold_change,p_value,p_adjusted,neg_log10_pval,neg_log10_padj,regulation,mean_expr_this,mean_expr_other,pct_expressing_this,pct_expressing_other,pct_diff,cohens_d,is_significant,is_upregulated,is_downregulated
1,SKAP1,9.287040832118038,5.919015274744429e-225,4.271556023273896e-222,224.22775053927657,221.36941389330684,UP,9.343350678234351,0.05630984611631391,100.0,0.7920792079207921,99.20792079207921,14.679193485155784,1,1,0
2,IKZF3,5.830941016799462,8.720475152205858e-259,1.887982870452568e-255,258.0594598510354,254.72400195034604,UP,5.83806181145512,0.007120794655657671,68.75,0.09900990099009901,68.6509900990099,14.242702169406016,1,1,0
3,PTPRC,9.28505901531346,5.2595810924528754e-154,7.591328710106984e-152,153.27904884453085,151.11968220289717,UP,9.4044797087464,0.11942069343294093,100.0,1.5346534653465347,98.46534653465346,9.646805124576266,1,1,0
4,CXCR4,5.133662513573871,1.2028180037244337e-231,1.3020504890316995e-228,230.9198000800231,227.88537217499768,UP,5.140954040282749,0.00729152670887834,62.5,0.09900990099009901,62.4009900990099,12.395057787651456,1,1,0
5,ITK,5.058567681755268,4.725434433235617e-214,1.7050942579925183e-211,213.32555825841737,210.76825160811163,UP,5.0679504667429365,0.009382784987667874,62.5,0.1485148514851485,62.351485148514854,12.13404596113004,1,1,0
6,SLFN12L,6.1186299461914,4.6906719635771785e-175,1.0155304801144592e-172,174.3287649378458,171.9933070371564,UP,6.155528771208172,0.036898825016771754,75.0,0.5445544554455445,74.45544554455445,10.447834655860225,1,1,0
7,ARHGAP15,9.269210109956926,5.528490934580985e-106,3.861026733344462e-104,105.25739339821118,103.41329719135607,UP,9.47053028573182,0.2013201757748946,100.0,2.623762376237624,97.37623762376238,7.47969805815254,1,1,0
8,CYTIP,4.664376327552371,1.4163797814914506e-204,4.380660324184272e-202,203.84882028132748,201.35846042065236,UP,4.671852896712192,0.00747656915982096,56.25,0.09900990099009901,56.1509900990099,10.889608268112797,1,1,0
9,CD69,4.208784251765273,2.2452070365967877e-222,9.72174646846409e-220,221.6487436053485,219.01225570899516,UP,4.208784251765273,0.0,50.0,0.0,50.0,11.572846058288343,1,1,0
10,PRF1,4.026469712471077,2.2452070365967877e-222,9.72174646846409e-220,221.6487436053485,219.01225570899516,UP,4.026469712471077,0.0,50.0,0.0,50.0,11.55942316870216,1,1,0
11,CCL5,4.583557697608212,6.789224283480335e-188,1.6331856193038806e-185,187.16817984407726,184.78696445282722,UP,4.593926466015107,0.010368768406895455,56.25,0.1485148514851485,56.101485148514854,10.411663157448817,1,1,0
12,NKG7,4.187403259610203,8.396323355684207e-198,2.2722550081320383e-195,197.0759108444006,194.64354293070315,UP,4.191142188896139,0.003738929285935311,50.0,0.04950495049504951,49.95049504950495,10.527907631739554,1,1,0
13,GRAP2,4.555555336745451,1.777449303188708e-173,3.4983434012759567e-171,172.75020277746705,170.4561375619359,UP,4.569240510478895,0.01368517373344459,56.25,0.19801980198019803,56.051980198019805,9.82771130505525,1,1,0
14,CARD11,6.243792807390363,6.164134710833249e-122,5.338140659581594e-120,121.21012787879005,119.27260998677271,UP,6.321474108651195,0.07768130126083224,75.0,1.0396039603960396,73.96039603960396,7.591788012416158,1,1,0
15,SYTL3,8.168655651214925,4.011697455550419e-90,2.0198430212248042e-88,89.39667182698248,87.69468238187268,UP,8.374144486703708,0.2054888354887829,93.75,2.821782178217822,90.92821782178218,6.692833932833592,1,1,0
