de_rank,gene,log2_fold_change,p_value,p_adjusted,neg_log10_pval,neg_log10_padj,regulation,mean_expr_this,mean_expr_other,pct_expressing_this,pct_expressing_other,pct_diff,cohens_d,is_significant,is_upregulated,is_downregulated
1,CDH12,9.40563160895963,0.0,0.0,300.0,300.0,UP,10.27104597729267,0.86541436833304,99.40577249575551,11.305361305361306,88.10041119039421,5.365481918969215,1,1,0
2,CNTN4,7.718752075407576,0.0,0.0,300.0,300.0,UP,10.83768647734027,3.118934401932694,100.0,39.62703962703963,60.37296037296037,3.040474425842147,1,1,0
3,STXBP5-AS1,7.321567954772106,6.136922244932229e-287,1.8980623800397536e-284,286.2120493792109,283.72168951853575,UP,8.17189278100657,0.8503248262344638,92.19015280135824,11.888111888111888,80.30204091324634,3.047185500416823,1,1,0
4,CNTN5,7.057583534314696,1.6594172289613076e-255,2.5661702147865935e-253,254.7800444051426,252.59071454013147,UP,7.6350099858093285,0.577426451494633,85.73853989813243,8.041958041958042,77.69658185617439,2.5741444087555942,1,1,0
5,PRKG1,6.848744492209103,6.514830010441617e-228,6.411184987548228e-226,227.18609691172276,225.19306169185558,UP,7.9972728409368825,1.1485283487277795,88.96434634974533,13.86946386946387,75.09488248028146,2.3679159112590464,1,1,0
6,MT-CO1,4.812339649201985,8.981520758405e-267,2.1605547157718696e-264,266.04665012201133,263.66543473076126,UP,9.754959858100332,4.942620208898346,99.15110356536503,63.98601398601399,35.16508957935105,1.8277496567082305,1,1,0
7,MT-CYB,4.623279713286858,1.2664416913166893e-264,2.7418462617006325e-262,263.89741480091675,261.56195690022736,UP,9.831236383942061,5.207956670655203,99.06621392190152,66.43356643356644,32.63264748833508,1.7479455291005328,1,1,0
8,TRPM3,6.186330588505193,1.2238932953173927e-182,7.570654241034729e-181,181.91225644434317,180.12086658800405,UP,8.048261432608188,1.8619308441029945,90.4074702886248,22.26107226107226,68.14639802755254,1.9889819627802177,1,1,0
9,CNKSR3,5.2760251588305005,4.87710666805382e-213,4.061129206283277e-211,212.31183774577391,210.39135319305535,UP,7.227325623652842,1.9513004648223413,86.5874363327674,27.505827505827508,59.081608826939885,1.743179393258915,1,1,0
10,MT-ATP6,4.1064184490878795,6.578106086250312e-261,1.1867999730609936e-258,260.18189912685494,257.9256224722132,UP,9.84938960919594,5.742971160108061,99.49066213921901,73.1934731934732,26.297188945745816,1.663501819790777,1,1,0
11,MT-ND3,4.079921776921505,1.177164777188723e-261,2.3168743114668956e-259,260.92916274122194,258.6350975256908,UP,10.020863870455097,5.940942093533592,99.49066213921901,75.17482517482517,24.31583696439384,1.6707398053927058,1,1,0
12,SLC6A11,5.607121481448857,1.4623585245079392e-190,9.893769392374027e-189,189.8349461389193,188.00463821654984,UP,6.655843650060825,1.0487221686119679,81.66383701188455,13.86946386946387,67.79437314242068,1.8849166728126792,1,1,0
13,PITPNC1,4.94834818379838,1.6157503971850334e-210,1.2493212892519992e-208,209.79162572864666,207.9033258592995,UP,9.03457840579766,4.08623022199928,97.62308998302207,50.815850815850816,46.807239167171254,1.710962749541458,1,1,0
14,MT-ND4,3.971142294876615,4.865934946550803e-256,8.103653199448068e-254,255.31283370151758,253.09131915313503,UP,9.997996050273043,6.026853755396428,99.32088285229203,75.64102564102564,23.679857211266395,1.6110441480230968,1,1,0
15,MGAT4C,5.75135345070531,5.3451506521297286e-176,3.0453292531212795e-174,175.27204004976923,173.51636574569665,UP,6.570076870172852,0.8187234194675416,75.80645161290323,9.906759906759907,65.89969170614333,1.7503456137384432,1,1,0
16,PCDH15,5.236917286415212,9.981453916572438e-167,5.2706945681413e-165,166.0008061939877,164.27813215001805,UP,10.247261879571314,5.010344593156102,99.32088285229203,50.815850815850816,48.505032036441214,1.583746226734623,1,1,0
17,FRAS1,4.8647567164170065,1.552349767976587e-151,6.721674495338621e-150,150.80901041891033,149.172522522557,UP,5.169261664547111,0.3045049481301047,61.79966044142614,4.0792540792540795,57.72040636217206,1.4841796497955866,1,1,0
18,RBFOX1,4.211883387865572,4.239788192180425e-163,2.1855098657311e-161,162.3726558389886,160.66044722869714,UP,8.915775927214149,4.703892539348577,92.86926994906621,55.011655011655016,37.85761493741119,1.2327628876759145,1,1,0
19,KCNQ3,4.596626710148512,2.355940877390859e-144,8.79415861991588e-143,143.6278356124185,142.05580570529204,UP,6.117850347433098,1.5212236372845858,74.53310696095076,20.62937062937063,53.903736331580134,1.3592092769975852,1,1,0
20,CHSY3,4.589085553904398,2.3830954248167528e-139,8.189526340838524e-138,138.62285856711992,137.08674121588413,UP,5.942574707276565,1.3534891533721671,71.56196943972836,17.94871794871795,53.61325149101041,1.3306493380808326,1,1,0
21,PLXDC2,3.9561231749815384,5.28033045348238e-153,2.3330439656712966e-151,152.27733889761143,150.63207707695057,UP,8.279440807173978,4.32331763219244,93.3786078098472,53.96270396270396,39.415903847143234,1.2529344087291496,1,1,0
22,SORBS1,4.195441485285926,2.556370110987589e-131,7.187715961413155e-130,130.5923762688535,129.1434090933366,UP,6.713216423152082,2.517774937866156,81.23938879456706,33.44988344988345,47.78950534468361,1.228909932185862,1,1,0
23,MAML3,4.387263037509934,4.672867165527163e-125,1.1902067545136833e-123,124.33041656438517,122.92437758941007,UP,5.92043295720085,1.5331699196909165,72.15619694397284,20.04662004662005,52.109576897352795,1.2637138688421632,1,1,0
24,LINC00923,4.029808021086177,1.0204896035088012e-125,2.6301904661863747e-124,124.99119141540824,123.58001280078074,UP,4.163003709009476,0.13319568792329844,51.782682512733444,1.8648018648018647,49.91788064793158,1.2824248732640053,1,1,0
25,PDE3B,4.01358676983302,5.5007970778988496e-123,1.3688765142127596e-121,122.25957437569635,120.86363572762558,UP,5.886308489761057,1.8727217199280375,72.92020373514431,25.524475524475527,47.395728210668786,1.1586306510738462,1,1,0
26,FGD4,4.040712518812567,1.3498846268519442e-121,3.283708109139842e-120,120.86970334858852,119.48363545454404,UP,5.780281705629123,1.739569186816556,72.66553480475382,23.543123543123542,49.122411261630276,1.185935550699263,1,1,0
27,HSP90AA1,3.3042826251296806,9.728533200777187e-132,2.7713518920635013e-130,131.011952634637,129.5573083262284,UP,7.262088887622658,3.9578062624929777,85.05942275042445,52.7972027972028,32.262219953221646,0.9689857176138958,1,1,0
28,SLC24A2,3.664785897360999,5.1297778284246845e-114,1.0782494173339264e-112,113.28990144385088,111.96728076786667,UP,9.43770192607926,5.772916028718261,98.89643463497453,66.08391608391608,32.812518551058446,1.2723545005057841,1,1,0
29,IQCA1,3.6183924959926115,1.965596449634156e-100,3.3508002468172814e-99,99.70650564097328,98.47485146123985,UP,4.202790919837485,0.5843984238448731,54.49915110356537,7.575757575757576,46.92339352780779,1.1202136230797326,1,1,0
