de_rank,gene,log2_fold_change,p_value,p_adjusted,neg_log10_pval,neg_log10_padj,regulation,mean_expr_this,mean_expr_other,pct_expressing_this,pct_expressing_other,pct_diff,cohens_d,is_significant,is_upregulated,is_downregulated
1,HPSE2,9.145270782064207,0.0,0.0,300.0,300.0,UP,9.243962321636193,0.09869153957198568,95.94594594594594,1.3761467889908259,94.56979915695511,10.132893259676273,1,1,0
2,OBI1-AS1,9.032751684042053,3.178720265023712e-272,2.293976457925445e-269,271.49774768935544,268.63941104338573,UP,9.181542092152933,0.14879040811087973,94.5945945945946,2.038735983690112,92.55585861090448,8.17177080383125,1,1,0
3,TNC,7.3804870171542225,0.0,0.0,300.0,300.0,UP,7.41398904733173,0.03350203017750692,82.43243243243244,0.45871559633027525,81.97371683610216,9.027538955713865,1,1,0
4,SLC14A1,6.502959813944202,1.6741711771154667e-271,9.061451496137464e-269,270.7762001392484,268.04280222988695,UP,6.562285154458257,0.059325340514054706,78.37837837837837,0.8154943934760449,77.56288398490233,7.040869573506198,1,1,0
5,LINC01088,8.010127297077812,1.400062118593619e-188,3.3679272075057613e-186,187.85385269491894,185.47263730366888,UP,8.340651387396719,0.3305240903189061,93.24324324324324,4.434250764525994,88.80899247871724,5.077512119469183,1,1,0
6,ALDH1A1,5.287763447599382,1.6367091438100698e-268,7.086950592697602e-266,267.7860284913037,265.1495405949503,UP,5.297886015737842,0.010122568138459898,64.86486486486487,0.1529051987767584,64.7119596660881,6.71790641475819,1,1,0
7,GLI3,5.654619571991157,5.697061041509741e-233,1.7620195935526554e-230,232.24434912724354,229.75398926656842,UP,5.717100418207521,0.062480846216364135,70.27027027027027,0.8664627930682977,69.40380747720198,5.8391128776622025,1,1,0
8,EFEMP1,5.13236269911983,6.326572356757714e-238,2.2828381920634083e-235,237.19883152058702,234.6415248702813,UP,5.161828077666346,0.029465378546516374,63.51351351351351,0.40774719673802245,63.10576631677549,5.865082113480722,1,1,0
9,RGMA,5.7497589055992675,8.55159744401883e-202,2.314276058287596e-199,201.0679527511992,198.63558483750177,UP,5.8537973149316285,0.1040384093323614,71.62162162162163,1.529051987767584,70.09256963385404,5.302591573109795,1,1,0
10,LINC00299,6.056340156883269,3.856111168e-153,6.957067232266668e-151,152.41385045429382,150.15757379965208,UP,6.296156067770935,0.2398159108876666,75.67567567567568,3.4148827726809374,72.26079290299474,4.230453069115863,1,1,0
11,GFAP,6.1898568448046944,8.909777341194787e-146,1.2859778629124477e-143,145.05013314901572,142.89076650738204,UP,6.447435034102997,0.2575781892983031,74.32432432432432,3.5168195718654434,70.80750475245888,4.0788696679037795,1,1,0
12,GJA1,4.358945331196189,1.3548433489597927e-179,2.933235850497951e-177,178.86811091631375,176.53265301562436,UP,4.410972209685654,0.05202687848946451,55.4054054054054,0.7135575942915392,54.69184781111387,4.499260509010765,1,1,0
13,AQP4,4.110536281011448,1.1413199970644948e-175,2.2463252669496648e-173,174.94259257339488,172.6485273578637,UP,4.153861278673945,0.04332499766249741,52.702702702702695,0.6116207951070336,52.09108190759566,4.438024779991891,1,1,0
